"Sampler","variable","mean","mcse_mean","sd","mad","q5","q50","q95","ess_bulk","ess_tail","rhat","ess_min_run","runtime_sec","ess_min_per_sec"
"hmc_steps_fixed_n10_auxFALSE_run1","beta.1",0.999647747251979,2.95709003931697e-05,0.00101705557259138,0.00103045674846721,0.997963942989944,0.99963936780962,1.00131622293426,1183.13776064476,2446.2764113855,1.00044567413196,1183.13776064476,4.7980000000025,246.589779208868
"hmc_steps_fixed_n10_auxFALSE_run1","beta.2",0.998718933459438,2.97629469062378e-05,0.00104017349213428,0.00104005103774238,0.997003573329619,0.998723159321756,1.00041617110991,1221.36736062543,2764.06322771341,1.00051697422572,1221.36736062543,4.7980000000025,254.557599129802
"hmc_steps_fixed_n10_auxFALSE_run1","beta.3",0.998178682180798,3.23616594566527e-05,0.00110617122958486,0.00110495955731496,0.996354806542302,0.998184221693494,1.00000198828024,1168.79945674587,2579.48456073171,1.00041263270013,1168.79945674587,4.7980000000025,243.601387400013
"hmc_steps_fixed_n10_auxFALSE_run1","beta.4",0.998834852665522,3.0812514913306e-05,0.00105092518754352,0.00105438006167763,0.997112516060097,0.998831464585402,1.0005518738241,1164.09817009818,2666.42860429204,1.00044370229274,1164.09817009818,4.7980000000025,242.621544413834
"hmc_steps_fixed_n10_auxFALSE_run1","beta.5",0.998584738065957,2.95071713123976e-05,0.00100298043825264,0.00101239693975674,0.996928263098097,0.998589396993119,1.00021524288922,1156.16358732527,2535.50252058078,1.00046590998341,1156.16358732527,4.7980000000025,240.967817283174
"hmc_steps_fixed_n10_auxFALSE_run1","sigma",1.0621641922974,0.0109993274740677,0.0314303822836645,0.0263808022716215,1.01559106783742,1.0588855188489,1.12350163659269,11.1549529849382,29.1084697338342,1.10883288911645,11.1549529849382,4.7980000000025,2.32491725405009
"hmc_steps_fixed_n50_auxFALSE_run4","beta.1",0.999649264367021,7.73627774823828e-06,0.00097365786278515,0.00096440748059403,0.998044461371657,0.999646938911859,1.00124019246194,15854.6287696593,8357.8579492762,0.99995853994725,15854.6287696593,23.9429999999993,662.182214829376
"hmc_steps_fixed_n50_auxFALSE_run4","beta.2",0.998725454516975,5.77780795380415e-06,0.000989021805967392,0.000983133727618884,0.997104635519757,0.99873615325088,1.00035289563389,29192.7546252089,8509.30545810266,0.999957199339519,29192.7546252089,23.9429999999993,1219.26051978489
"hmc_steps_fixed_n50_auxFALSE_run4","beta.3",0.998181521600619,4.36240319039776e-06,0.00106754067167138,0.00106044379245536,0.996427125284062,0.998184181108715,0.999934241423624,60025.2494516126,8738.7509112037,1.00014512087558,60025.2494516126,23.9429999999993,2507.00620020943
"hmc_steps_fixed_n50_auxFALSE_run4","beta.4",0.998830399441747,7.39645046159324e-06,0.000999337290114333,0.000974517823117892,0.997188505793201,0.998827242299287,1.00048102465857,18194.6433142385,8771.56478083947,1.0000542623024,18194.6433142385,23.9429999999993,759.91493606645
"hmc_steps_fixed_n50_auxFALSE_run4","beta.5",0.998601520982689,1.29782632796e-05,0.000963966257535663,0.000940623788905577,0.99702578720355,0.998603019356668,1.00019146106323,5517.37501419233,8044.75195746153,1.00016322325136,5517.37501419233,23.9429999999993,230.437915641001
"hmc_steps_fixed_n50_auxFALSE_run4","sigma",1.041047055554,0.0138704099152485,0.0730800727734074,0.0721487274985628,0.92282417577418,1.04029713649173,1.15949998768997,27.8336791558691,37.4610035094551,1.01156277852467,27.8336791558691,23.9429999999993,1.1624975632072
"hmc_steps_adapt_auxTRUE_run5","beta.1",0.999655465943081,6.23140730510653e-06,0.000981220706531403,0.000982017397257803,0.998038987197485,0.999655059571862,1.0012715996642,24754.683981204,9819.3722803513,1.00081032704058,24754.683981204,19.3220000000001,1281.16571686181
"hmc_steps_adapt_auxTRUE_run5","beta.2",0.9987249462733,6.35913297954814e-06,0.00100576302947417,0.00102373429442223,0.997067526734318,0.998725776359602,1.00036124116153,24983.1486501131,10289.6889468137,1.00082635402153,24983.1486501131,19.3220000000001,1292.98978625986
"hmc_steps_adapt_auxTRUE_run5","beta.3",0.998189281252059,6.68443197791725e-06,0.00107397015241902,0.00107983184237969,0.996419802398355,0.998191897673636,0.999946716125982,25108.481049208,10202.4337811118,1.00143488144676,25108.481049208,19.3220000000001,1299.47629899637
"hmc_steps_adapt_auxTRUE_run5","beta.4",0.99884091310374,6.40454153908767e-06,0.00101433847380971,0.00102661445514335,0.997190107227322,0.99883490066454,1.00049856952858,25084.9599076214,10123.6268215029,1.00067595558181,25084.9599076214,19.3220000000001,1298.25897462071
"hmc_steps_adapt_auxTRUE_run5","beta.5",0.998598957211897,6.00512631532652e-06,0.000963674935392657,0.000969773948724339,0.997010778033424,0.998596442782142,1.00018527769214,25709.5585688723,9589.35587033062,1.0005267841164,25709.5585688723,19.3220000000001,1330.58475152014
"hmc_steps_adapt_auxTRUE_run5","sigma",1.04351184469941,0.0391002245851282,0.0709981494715213,0.0671702422006098,0.948722539555526,1.02873038649972,1.18555530173897,3.3868089441686,35.157827166774,1.25467231776227,3.3868089441686,19.3220000000001,0.175282524799119
