"Sampler","variable","mean","mcse_mean","sd","mad","q5","q50","q95","ess_bulk","ess_tail","rhat","ess_min_run","runtime_sec","ess_min_per_sec"
"hmc_steps_fixed_n10_auxFALSE_run1","mu.1",-2.73350007087835,0.000173160586759223,0.0418672203499921,0.0414298333118315,-2.80271975460309,-2.73374141890207,-2.66386700730189,58613.5309937171,11515.8516909511,0.999951779670667,58613.5309937171,44.4279999999999,1319.29258561532
"hmc_steps_fixed_n10_auxFALSE_run1","mu.2",2.8694631728664,0.000476816584063726,0.0547563118206447,0.0543556699163718,2.77895724085741,2.87014618288646,2.95987534283398,13175.0350283533,13797.859491745,1.00006519203694,13175.0350283533,44.4279999999999,296.548010901985
"hmc_steps_fixed_n10_auxFALSE_run1","sigma.1",1.0288509770969,0.000113744232071697,0.0314796086156794,0.0312115549968728,0.978895396361863,1.0278211020283,1.08179011115856,76594.9050918595,1433.02045631501,1.00329132713002,76594.9050918595,44.4279999999999,1724.02325317052
"hmc_steps_fixed_n10_auxFALSE_run1","sigma.2",1.02349924805052,0.000161405540543546,0.040358097743677,0.0409942057231054,0.959328810994296,1.02213234937927,1.09237131668385,66710.2258235931,7898.48364132801,0.999968892489084,66710.2258235931,44.4279999999999,1501.53564922106
"hmc_steps_fixed_n10_auxFALSE_run1","theta",0.621612895191888,0.000129509331395888,0.0154075972416268,0.015473588895313,0.596030595986248,0.621715175736472,0.646793230063018,14144.691513691,15097.0351257469,1.00008039974555,14144.691513691,44.4279999999999,318.373357200211
"hmc_steps_fixed_n50_auxFALSE_run7","mu.1",-2.73275733067712,0.000919250171990547,0.042085661872265,0.0423156538758382,-2.80212112269805,-2.732959736544,-2.66327792437249,2097.35319319727,6151.2592136263,1.00067039183376,2097.35319319727,182.178,11.5126590104034
"hmc_steps_fixed_n50_auxFALSE_run7","mu.2",2.86908360989975,0.000886156517177185,0.0540138006851654,0.053562418825734,2.78021013265077,2.86926981953109,2.95800955849355,3708.63654139733,7566.64062670859,1.00049937031277,3708.63654139733,182.178,20.3572140510782
"hmc_steps_fixed_n50_auxFALSE_run7","sigma.1",1.02911862087872,0.000291120571868798,0.0310035118698042,0.0301349140961837,0.979824275348729,1.02819759568501,1.08181034099994,11213.6692483589,14630.1867641403,0.999954078122312,11213.6692483589,182.178,61.5533667531695
"hmc_steps_fixed_n50_auxFALSE_run7","sigma.2",1.02151609277375,0.00189854351591298,0.0400165167665016,0.0392975659617733,0.956904870828625,1.02022969798144,1.09016332817193,439.79542771026,1140.44982591763,1.00024726784645,439.79542771026,182.178,2.41409735374337
"hmc_steps_fixed_n50_auxFALSE_run7","theta",0.621504344524088,0.000147372960087955,0.0153892858254416,0.015576953218055,0.596120968969862,0.621420265873917,0.646749776431102,10897.1959194749,13889.9496188072,1.00026506855221,10897.1959194749,182.178,59.8162012947498
"hmc_steps_adapt_auxTRUE_run8","mu.1",-2.73347874048734,0.0003187855069862,0.041557532800442,0.041914243069028,-2.80128364727265,-2.73374526597657,-2.66525265252859,17016.9316130124,8250.4865392336,1.00034665486267,17016.9316130124,189.004999999997,90.0342933415128
"hmc_steps_adapt_auxTRUE_run8","mu.2",2.87019060477316,0.00043694957215549,0.054973834813642,0.0544840560806027,2.78046759358859,2.87030513387769,2.9610637421679,15810.2467905558,8082.57737424195,0.999970999797064,15810.2467905558,189.004999999997,83.6498864609722
"hmc_steps_adapt_auxTRUE_run8","sigma.1",1.02915677384843,0.000256623983131943,0.0313137481501721,0.0313010573300127,0.979178906989005,1.02821794210411,1.08145915706833,15075.4452568264,8047.85330051976,1.00005140515117,15075.4452568264,189.004999999997,79.7621505083287
"hmc_steps_adapt_auxTRUE_run8","sigma.2",1.0234020305876,0.000325161032612524,0.0404164564481466,0.040692648207418,0.958889213489104,1.02216169801721,1.09188871463045,15509.6637031062,7972.75698883449,1.00025508107232,15509.6637031062,189.004999999997,82.0595418274988
"hmc_steps_adapt_auxTRUE_run8","theta",0.62139626098713,0.000125887864624768,0.0155836003452636,0.0156155318057219,0.595501975346253,0.621451362422609,0.646971827784738,15321.6453852524,7043.02739354065,0.999972504296561,15321.6453852524,189.004999999997,81.064762229849
